"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: targetBufferSize","Param: transferSize"
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,1967.841590,5.620501,"MB/sec",ISO-8859-1,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,328.012650,0.001115,"B/op",ISO-8859-1,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,1973.083774,0.064725,"MB/sec",ISO-8859-1,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,328.886597,0.942611,"B/op",ISO-8859-1,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.002788,0.001738,"MB/sec",ISO-8859-1,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000465,0.000290,"B/op",ISO-8859-1,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,175.000000,NaN,"counts",ISO-8859-1,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,108.000000,NaN,"ms",ISO-8859-1,128,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,6712.637432,8.213744,"ops/ms",ISO-8859-1,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,1658.220848,2.024963,"MB/sec",ISO-8859-1,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,272.010577,0.001632,"B/op",ISO-8859-1,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,1657.370856,118.827949,"MB/sec",ISO-8859-1,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,271.870162,19.231546,"B/op",ISO-8859-1,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.003350,0.003075,"MB/sec",ISO-8859-1,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.000550,0.000505,"B/op",ISO-8859-1,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,147.000000,NaN,"counts",ISO-8859-1,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,97.000000,NaN,"ms",ISO-8859-1,128,1048576
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,843.996705,3.097282,"ops/ms",ISO-8859-1,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,1625.020770,5.957187,"MB/sec",ISO-8859-1,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,2120.083053,0.008267,"B/op",ISO-8859-1,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,1634.845130,0.063150,"MB/sec",ISO-8859-1,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,2132.901955,7.855207,"B/op",ISO-8859-1,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.003243,0.004879,"MB/sec",ISO-8859-1,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.004230,0.006351,"B/op",ISO-8859-1,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,145.000000,NaN,"counts",ISO-8859-1,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,103.000000,NaN,"ms",ISO-8859-1,1024,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,1543.876275,4.866028,"ops/ms",ISO-8859-1,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,2972.554146,9.469838,"MB/sec",ISO-8859-1,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,2120.080027,0.004782,"B/op",ISO-8859-1,1024,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,2976.550736,97.249013,"MB/sec",ISO-8859-1,1024,1024
